description,amount,category
KOTAK UPI: RS 521/- TO LENSKART@SBI,521.18,shopping_online
ICICI Debit: Rs 661 to crossfit@sbi UPI,660.85,health_fitness
"phonepe: rs 18,278 paid to westside",18278.4,shopping_offline
Anniversary gift - Rs.3314/- paid via UPI,3314.18,gifts
UPI: Rs 1712 to sarvayoga@hdfcbank for purchase,1712.22,health_fitness
"SBI: Rs 45,659.71 debited for Kuvera MF purchase",45659.71,investment
Canara: Rs 919 debited from a/c **7912 for Tikona,918.99,bills_telecom
paid rs 4021/- to msedcl via gpay,4021.43,bills_electricity
"Nykaa - Rs.2,847 paid via UPI",2847.23,shopping_online
"Canara Credit: Rs 293,564 NEFT-Tata Motors-SALARY",293563.77,salary
"ICICI UPI: Rs 17,951.23 to maxfashion@hdfcbank",17951.23,shopping_offline
BlueDart - Rs.4355/- paid via UPI,4355.22,other
Axis SMS: INR 311/- debited UPI txn to anniversaryg@hdfcbank,310.82,gifts
Yes Bank CC: CrossFit Rs. 2840/-,2839.63,health_fitness
"HDFC: Rs 71,753 credited - Salary from Google India",71752.97,salary
"BOB CC: RedBus Rs 38,630.75",38630.75,travel
"IndusInd SMS: INR 2,035 debited UPI txn to healthifyme@hdfcbank",2035.14,health_fitness
"ICICI SMS: INR 2,731 debited UPI txn to thequad@okhdfcbank",2731.05,health_fitness
"PHONEPE: RS 7,982 PAID TO PEPPERFRY",7982.16,shopping_online
CARD **2424 used at Canva Pro for Rs.290,289.8,subscription
"paid rs 49,288.98 to simplilearn via gpay",49288.98,education
RS 458/-/- DEBITED TIKONA PNB,458.37,bills_telecom
"BOB: Rs 3,477.50 debited for DTDC purchase",3477.5,other
"HDFC: Rs.1,716 paid to Apple TV+ via UPI Ref 116675283",1715.6,entertainment
Investment: Rs 80032 to Coin by Zerodha via UPI,80031.55,investment
"Payment of Rs 24,000 to Fortis Hospital successful",24000.43,health_medical
"Auto debit Rs 39,383 Axis Car Loan loan account",39382.54,emi
"Axis CC: Amazon Fresh Rs 4,524",4524.15,groceries
Canara SMS: INR 17080 dbtd UPI txn to makemytrip@okaxis,17080.41,travel
"IndusInd: Rs 1,346.91 debited for YouTube Premium purchase",1346.91,subscription
ICICI SMS: INR 1615 debited UPI txn to hmwssb@kotak,1615.28,bills_water
"SIP debit Rs 44,926 Zerodha folio",44925.85,investment
"Canara SMS: INR 2,360.25 dbtd UPI txn to uber@hdfcbank",2360.25,transport_ride
"PNB UPI: RS 18,956 TO NETMEDS@OKHDFCBANK",18955.58,health_medical
"icici sms: inr 1,820.01 debited upi txn to grofers@kotak",1820.01,groceries
"Bajaj Finance EMI: EMI Rs 18,040.37 debited",18040.37,emi
"paid rs 3,371 to igp via gpay",3371.35,gifts
Paid Rs 33344/- to BYJUS via GPay,33343.87,education
CARD **4811 USED AT MISCELLANEOUS FOR RS.1019/-,1018.6,other
Rs. 813/- debited Chennai Metro Water Yes Bank,812.78,bills_water
"Salary credited Rs 38,972 from Tata Motors",38971.58,salary
rs 13221/-/- debited bewakoof bob,13220.93,shopping_online
"Salary for Aug - Rs 236,394 from Wipro",236394.17,salary
"Axis: Rs 1,421 dbtd for Indian Oil purchase",1420.59,transport_fuel
"Paid Rs 16,251 to Tanishq via GPay",16251.42,shopping_offline
"SBI: Rs.17,496 paid to MakeMyTrip via UPI Ref 295147039",17496.37,travel
"Payment of Rs 1,589.09 to Spotify successful",1589.09,entertainment
Yes Bank: Rs.856 paid to Pune Municipal Water via UPI Ref 302747423,855.57,bills_water
ICICI: Rs. 141951/- credited - Salary from Google India,141950.51,salary
HDFC CC: TATA Power Rs 3819,3819.34,bills_electricity
Yes Bank: Rs 2197 debited from a/c **1434 for F45 Training,2196.67,health_fitness
"IndusInd Debit: Rs. 2,454.20 to swiggyinstam@okhdfcbank UPI",2454.2,groceries
canara: rs 635 debited for vi vodafone purchase,635.22,bills_telecom
"Yes Bank: Rs.19,877.33 paid to Central via UPI Ref 379610097",19877.33,shopping_offline
SBI: Rs.615 paid to Jaipur Water via UPI Ref 441446020,615.0,bills_water
"Kotak: Rs 3,674.12 debited from a/c **7873 for Decathlon",3674.12,shopping_offline
"HDFC: Rs 5,160 debited from a/c **9928 for Christmas gift",5159.64,gifts
"yes bank: rs 47,783.02 debited for hdfc home loan emi",47783.02,emi
Air India - Rs.21146 paid via UPI,21146.43,travel
"Yes Bank: Rs.19,137 paid to Titan Eye Plus via UPI Ref 406281188",19137.41,shopping_offline
IndusInd: Rs 52103/- debited for Mirae Asset MF purchase,52103.09,investment
"PNB: Rs.4,978 paid to Nayara Energy via UPI Ref 905430477",4978.27,transport_fuel
BOB Debit: Rs 4708 to naturalssalo@axl UPI,4707.54,personal_care
"House rent payment Rs 9,877.94 for Apr",9877.94,rent
"Monthly rent Rs 45,237 paid via UPI",45237.36,rent
FreshToHome - Rs.314 paid via UPI,314.09,groceries
SBI SMS: INR 103 debited UPI txn to ola@axisbank,103.41,transport_ride
"Monthly rent Rs 24,984 paid via UPI",24983.98,rent
"UPI: Rs 9,214 to myntra@kotak for purchase",9213.63,shopping_online
Loan EMI Rs 21441/- paid to Kotak EMI,21441.31,emi
"Kotak CC: Talwalkars Rs 3,313.91",3313.91,health_fitness
"Paid Rs 14,454.13 to WOW Skin via GPay",14454.13,shopping_online
indusind sms: inr 9822 debited upi txn to archies@paytm,9822.18,gifts
PNB Alert: INR 982.67 spent at Zepto Cafe,982.67,food_delivery
ICICI SMS: INR 659.78 debited UPI txn to haldirams@ybl,659.78,food_delivery
"SIP debit Rs 57,319 Groww folio",57318.85,investment
"salary for nov - rs 267,389 from hcl tech",267389.25,salary
"ICICI CC: Allen Career Rs 6,531",6531.45,education
"CARD **4257 used at Snap Fitness for Rs.1,882",1881.64,health_fitness
Dunzo - Rs..3423/- paid via UPI,3422.64,groceries
Yes Bank UPI: Rs 4753 to kayaskin@okhdfcbank,4753.41,personal_care
PNB CC: Wendy's Rs 137,136.65,food_delivery
Dropbox - Rs.1201/- paid via UPI,1201.4,subscription
PAYMENT OF RS 5921/- TO MAMAEARTH SUCCESSFUL,5920.54,shopping_online
"MONTHLY RENT RS 19,913.33 PAID VIA UPI",19913.33,rent
"Salon - Rs.2,270.83 paid via UPI",2270.83,personal_care
YES BANK: RS 1707/- DEBITED FOR STRAVA PURCHASE,1706.87,subscription
"HDFC: Rs.1,624.89 paid to Haircut via UPI Ref 861734945",1624.89,personal_care
"House rent payment Rs 6,477.26 for Nov",6477.26,rent
"IndusInd SMS: INR 2,191 debited UPI txn to lionsgatepla@hdfcbank",2190.97,entertainment
"SALARY FOR APR - RS 121,062.73 FROM COGNIZANT",121062.73,salary
"Canara Debit: Rs 1,449.51 to spectra@ybl UPI",1449.51,bills_telecom
UPI: Rs 526/- to jiofiber@hdfcbank for purchase,525.79,bills_telecom
HDFC: Rs.45724 paid to PeoplePerHour via UPI Ref 225104500,45723.6,freelance
Yes Bank Alert: INR 4001/- spent at Indian Oil,4000.56,transport_fuel
PNB Debit: Rs 787.86 to tataplay@okaxis UPI,787.86,bills_telecom
Kotak CC: McDonalds Rs 717.88,717.88,food_delivery
Axis UPI: Rs 186.66 to municipalwat@ybl,186.66,bills_water
"ICICI: Rs 31,044.88 NEFT to Rent to owner",31044.88,rent
IndusInd Debit: Rs 1004/- to indianoil@ybl UPI,1003.5,transport_fuel
Canara UPI: Rs 296 to tataplay@axl,295.57,bills_telecom
ICICI: Rs 261304/- credited - Salary from Bajaj Auto,261303.99,salary
"Salary credited Rs 293,625 from Amazon India",293624.95,salary
"IndusInd: Rs 7,503 debited from a/c **9279 for upGrad",7503.15,education
Yes Bank Alert: INR 19582 spent at Dr Lal PathLabs,19582.41,health_medical
PNB UPI: Rs 8326/- to fernsnpetals@axl,8326.5,gifts
"Office rent payment Rs 19,744.42 for Jan",19744.42,rent
Canara Alert: INR 282 spent at Delhi Jal Board,282.49,bills_water
"Payment of Rs 4,884 to Golds Gym successful",4884.02,health_fitness
BOB UPI: Rs 506.65 to rapido@ybl,506.65,transport_ride
"PhonePe: Rs 1,313.25 paid to Auto Rickshaw",1313.25,transport_ride
"PhonePe: Rs 12,328 paid to Max Fashion",12327.6,shopping_offline
"BOB Alert: INR 22,545 spent at IRCTC",22545.01,travel
ICICI UPI: Rs 990 to rapidobike@sbi,990.09,transport_ride
"Axis: Rs.1,382.69 paid to Diwali gift via UPI Ref 736047284",1382.69,gifts
"UPI: Rs 1,738.14 to myntra@paytm for purchase",1738.14,shopping_online
HDFC: Rs 289 debited for Pizza Hut purchase,289.24,food_delivery
"Paid Rs 12,564 to Lifestyle via GPay",12564.44,shopping_offline
Monthly salary credit INR 142667/- TCS,142667.24,salary
IndusInd SMS: INR 651 debited UPI txn to googleone@paytm,650.62,subscription
"Axis: Rs 6,062.82 debited for ICICI Personal Loan EMI",6062.82,emi
Kotak Alert: INR 787/- spent at HealthifyMe,786.75,health_fitness
Rs 1402/-/- debited JioCinema BOB,1402.17,entertainment
"Axis Debit: Rs 1,480 to spotify@sbi UPI",1480.13,entertainment
PG rent payment Rs 46379 for Jan,46379.41,rent
Paid Rs. 3723 to Dunzo via GPay,3722.66,groceries
"AXIS ALERT: INR 1,498 SPENT AT PUNE MUNICIPAL WATER",1497.76,bills_water
IndusInd Alert: INR 40022/- spent at Allen Career,40021.61,education
Swiggy - Rs.781.92 paid via UPI,781.92,food_delivery
KOTAK UPI: RS 1223 TO JIO@SBI,1223.48,bills_telecom
"UPI: Rs 15,945 to narayanaheal@ybl for purchase",15944.95,health_medical
"Loan EMI Rs 47,877.76 paid to Samsung Finance",47877.76,emi
"PhonePe: Rs 6,145 paid to UHBVN",6144.7,bills_electricity
Canara: Rs 25726 NEFT to Flat rent,25725.68,rent
"Investment: Rs 40,160 to Groww via UPI",40160.07,investment
"Rs 4,973.38/- debited Netmeds Canara",4973.38,health_medical
RENT TRANSFER RS 42296/- TO LANDLORD,42296.48,rent
Yes Bank UPI: Rs 2339 to reliancepetr@icici,2339.2,transport_fuel
SBI CC: Sugar Cosmetics Rs 8660,8660.24,shopping_online
"ICICI UPI: Rs 3,510.75 to bbdaily@axisbank",3510.75,groceries
"SBI Alert: INR 1,011 spent at Lucknow Jal Nigam",1011.05,bills_water
PNB: Rs 3294 debited from a/c **7873 for Swiggy Instamart,3294.0,groceries
"Canara SMS: INR 32,006 debited UPI txn to udemy@sbi",32005.85,education
"IndusInd: Rs 1,863.29 debited for Cinepolis purchase",1863.29,entertainment
BOB: Rs 20746 debited from a/c **5506 for Narayana Health,20745.53,health_medical
"ICICI SMS: INR 5,581.52 debited UPI txn to atmwithdrawa@hdfcbank",5581.52,other
Office rent payment Rs 23265 for Jun,23265.15,rent
SBI: RS 572 DEBITED FROM A/C **2424 FOR MCGM WATER,571.85,bills_water
"UPI: Rs 30,429 to fiverr@hdfcbank for purchase",30429.2,freelance
"Axis: Rs 1,708 debited for iCloud purchase",1708.21,subscription
"UPI: Rs 4,902 to zepto@ybl for purchase",4901.5,groceries
paid rs 23776/- to max hospital via gpay,23775.74,health_medical
phonepe: rs 1185/- paid to canva pro,1184.71,subscription
Payment of Rs. 1812/- to Porter successful,1811.5,transport_ride
Monthly rent Rs 12169/- paid via UPI,12168.75,rent
CrossFit - Rs.3353/- paid via UPI,3352.53,health_fitness
"bob upi: rs 1,405 to uber@okaxis",1404.52,transport_ride
Rent transfer Rs 43004/- to landlord,43003.62,rent
CARD **5506 used at Rapido Bike for Rs.774,773.68,transport_ride
"Yes Bank: Rs. 17,868.91 debited from a/c **4657 for Decathlon",17868.91,shopping_offline
Payment of Rs 561/- to Wendy's successful,560.98,food_delivery
Paid Rs 89 to Uber Auto via GPay,88.54,transport_ride
BOB Debit: Rs 126.15 to rapido@sbi UPI,126.15,transport_ride
"Paid Rs 4,968 to VLCC via GPay",4967.97,personal_care
MedPlus - Rs.3384/- paid via UPI,3383.63,health_medical
"CARD **1520 used at Lionsgate Play for Rs.2,341.10",2341.1,entertainment
PNB UPI: Rs 70 to nefttransfer@axisbank,70.07,other
"HDFC MF: SIP of Rs 79,427 debited",79426.75,investment
"SBI Debit: Rs 70,697.96 to projectpayme@axl UPI",70697.96,freelance
"Paytm Money - Rs 8,420.89 invested in mutual fund",8420.89,investment
UPI: Rs 12885/- to zara@icici for purchase,12885.36,shopping_offline
"SBI UPI: Rs 3,874.21 to firstcry@okaxis",3874.21,shopping_online
"monthly rent rs 40,779.65 paid via upi",40779.65,rent
"Payment of Rs 10,660.49 to WOW Skin successful",10660.49,shopping_online
SBI Alert: INR 1939/- spent at BookMyShow,1938.65,entertainment
"HDFC: Rs.1,165 paid to Fun Cinemas via UPI Ref 534390135",1164.6,entertainment
ICICI ALERT: INR 965 SPENT AT LUCKNOW JAL NIGAM,965.39,bills_water
Monthly rent Rs 18459/- paid via UPI,18459.09,rent
Payment of Rs 3164/- to Diwali gift successful,3164.5,gifts
Kotak: Rs 772 debited for Ratnadeep purchase,772.45,groceries
"PhonePe: Rs 1,134 paid to Namma Yatri",1133.84,transport_ride
HDFC: Rs 236990 credited - Salary from Wipro,236990.49,salary
Paid Rs. 1551/- to DishTV via GPay,1550.83,bills_telecom
House rent payment Rs 23276/- for May,23275.53,rent
Rs 1148/-/- debited KFC BOB,1147.85,food_delivery
"UPI: Rs 11,534.71 to pepperfry@kotak for purchase",11534.71,shopping_online
HDFC: Rs 2595/- debited from a/c **5012 for Anniversary gift,2594.73,gifts
"PhonePe: Rs 4,837 paid to Spa",4836.79,personal_care
"BOB: Rs.1,067.81 paid to Porter via UPI Ref 677303044",1067.81,transport_ride
"ICICI: Rs.6,092.32 paid to boAt via UPI Ref 579527597",6092.32,shopping_online
Axis Alert: INR 4525/- spent at Golds Gym,4525.01,health_fitness
CARD **4257 used at Scaler Academy for Rs..41400/-,41399.91,education
bob: rs 31663 debited for toptal purchase,31663.47,freelance
"TATA CAPITAL EMI: EMI RS 19,786.11 DEBITED",19786.11,emi
Payment of Rs 260 to Natures Basket successful,260.31,groceries
"canara: rs.37,625 paid to upgrad via upi ref 691926077",37624.88,education
"HDFC SMS: INR 6,266 debited UPI txn to peterengland@okaxis",6265.71,shopping_offline
HDFC SMS: INR 433 debited UPI txn to totalenergie@ybl,433.22,transport_fuel
"Pune Municipal Water - Rs.1,214 paid via UPI",1213.55,bills_water
"SIP debit Rs 32,915 ET Money folio",32914.92,investment
"Kotak SMS: INR 1,474 debited UPI txn to bsnl@sbi",1473.97,bills_telecom
CARD **4257 used at Van Heusen for Rs.747,747.0,shopping_offline
Yes Bank Debit: Rs 1633 to lionsgatepla@ybl UPI,1633.04,entertainment
"SBI: Rs 2,806.85 debited from a/c **1520 for Talwalkars",2806.85,health_fitness
Monthly salary credit INR 45049 ICICI Bank,45049.05,salary
CARD **3286 used at Jio for Rs.880,880.02,bills_telecom
"ZERODHA - RS 72,735.67 INVESTED IN MUTUAL FUND",72735.67,investment
"Rs 2,282.97/- debited Sarva Yoga ICICI",2282.97,health_fitness
ICICI: Rs 42376/- debited from a/c **1434 for Great Learning,42375.67,education
HDFC: Rs.819.82 paid to Calm via UPI Ref 986397259,819.82,subscription
"SBI UPI: Rs 1,992.21 to starbazaar@icici",1992.21,groceries
PhonePe: Rs 2513/- paid to Delhivery,2512.8,other
"SBI Alert: INR 1,965.50 spent at Headspace",1965.5,subscription
"SIP debit Rs 1,256.43 ET Money folio",1256.43,investment
CARD **2679 used at Box8 for Rs.626.98,626.98,food_delivery
JAIPUR WATER - RS.1889 PAID VIA UPI,1889.19,bills_water
PAYMENT OF RS 464/- TO DIWALI GIFT SUCCESSFUL,464.35,gifts
"PhonePe: Rs 11,858.93 paid to development work",11858.93,freelance
upi: rs 13079 to toptal@kotak for purchase,13078.84,freelance
"Kotak: Rs.6,511.68 paid to Nykaa via UPI Ref 582291740",6511.68,shopping_online
Payment of Rs 570.08 to Subway successful,570.08,food_delivery
"Essar Petrol - Rs.4,700 paid via UPI",4699.97,transport_fuel
Yes Bank: Rs 240.95 debited from a/c **9935 for Uber Auto,240.95,transport_ride
"BOB: Rs 16,961 debited for Tata Capital EMI EMI",16960.87,emi
Snap Fitness - Rs.2018/- paid via UPI,2017.65,health_fitness
"Loan EMI Rs 34,372 paid to Tata Capital EMI",34372.22,emi
"Auto debit Rs 40,280.50 Mahindra Finance loan account",40280.5,emi
Canara CC: Delhivery Rs 1635/-,1634.58,other
"UPI: Rs 9,999.24 to delhivery@hdfcbank for purchase",9999.24,other
"Kotak SMS: INR 1,304 debited UPI txn to dishtv@axl",1303.67,bills_telecom
"PNB SMS: INR 4,116.59 DEBITED UPI TXN TO GOLDSGYM@ICICI",4116.59,health_fitness
"PhonePe: Rs 1,562 paid to Thai Spa",1561.78,personal_care
PNB Alert: INR 1366 spent at EatFit,1365.7,food_delivery
"BOB: Rs 90,710 credited - Salary from Wipro",90709.99,salary
Payment of Rs 391 to Kaya Skin successful,390.84,personal_care
BOB CC: Thai Spa Rs 486,485.6,personal_care
monthly rent rs 6971 paid via upi,6970.59,rent
"Paid Rs 23,970 to Max Hospital via GPay",23969.77,health_medical
"PhonePe: Rs 7,470.61 paid to Peter England",7470.61,shopping_offline
"UPI: Rs 1,350 to dishtv@sbi for purchase",1349.6,bills_telecom
PNB CC: Great Learning Rs 20365/-,20365.38,education
"KOTAK DEBIT: RS 4,231.57 TO WBSEDCL@YBL UPI",4231.57,bills_electricity
"Rs 6,424.33/- debited Allen Career SBI",6424.33,education
paid rs 3811 to bb daily via gpay,3811.02,groceries
"HDFC UPI: Rs 4,745 to byjus@okaxis",4744.63,education
"Salary credited Rs 26,581.57 from Google India",26581.57,salary
CARD **4257 USED AT GRAMMARLY FOR RS.456.88,456.88,subscription
Kotak: Rs. 49690/- debited for ICICI Personal Loan EMI,49690.26,emi
UPI: Rs 9825/- to rakhigift@okhdfcbank for purchase,9824.7,gifts
AUTO DEBIT RS 19901 ICICI PERSONAL LOAN LOAN ACCOUNT,19900.67,emi
HDFC UPI: Rs 6750/- to bata@icici,6749.94,shopping_offline
"Payment of Rs 4,115.35 to Talwalkars successful",4115.35,health_fitness
"UPI: Rs 1,495 to fernsnpetals@kotak for purchase",1495.08,gifts
ICICI Personal Loan: EMI Rs. 16770/- debited,16770.33,emi
Swiggy Instamart - Rs.634 paid via UPI,634.36,groceries
"CARD **2535 used at Apollo Pharmacy for Rs.13,857",13857.15,health_medical
"PhonePe: Rs 1,394 paid to Cult.fit",1394.05,health_fitness
"Sugar Cosmetics - Rs.7,451.15 paid via UPI",7451.15,shopping_online
"Yes Bank Alert: INR 4,208.97 spent at Cash deposit",4208.97,other
Yes Bank Alert: INR 783 spent at Ola,783.23,transport_ride
"PNB CC: Zara Rs 8,713",8712.96,shopping_offline
Salary for Sep - Rs 130115 from Accenture,130114.86,salary
"SBI: Rs 4,050 debited for Vishal Mega Mart purchase",4050.38,groceries
Auto debit Rs 29058/- Samsung Finance loan account,29058.34,emi
IndusInd CC: LinkedIn Premium Rs 670.76,670.76,subscription
"BOB Debit: Rs 8,793.63 to raymond@okaxis UPI",8793.63,shopping_offline
CARD **7912 used at Zepto for Rs.492.34,492.34,groceries
BOB: Rs 4970/- debited from a/c **2824 for VLCC,4969.84,personal_care
"IndusInd Credit: Rs 150,654 NEFT-L&T-SALARY",150653.66,salary
UPI: Rs 7561 to marksspencer@okhdfcbank for purchase,7560.82,shopping_offline
"LANDLORD PAYMENT RS 9,821 FOR OCT",9821.31,rent
Rs 795.58/- debited Spotify ICICI,795.58,entertainment
"AXIS SMS: INR 5,735 DEBITED UPI TXN TO BESCOM@OKHDFCBANK",5735.33,bills_electricity
Kotak: Rs 4835/- debited from a/c **1409 for Rakhi gift,4834.58,gifts
"IndusInd Alert: INR 1,850 spent at Beauty Parlor",1849.95,personal_care
ICICI: Rs 50828 debited for Axis MF MF purchase,50827.65,investment
"Landlord payment Rs 9,815 for May",9815.4,rent
"PNB CC: Udemy Rs 38,543",38543.19,education
"Kotak SMS: INR 4,829.28 debited UPI txn to nayaraenergy@sbi",4829.28,transport_fuel
Yes Bank UPI: Rs 947/- to archies@axisbank,946.92,gifts
UPI: Rs 651/- to microsoft365@kotak for purchase,651.19,subscription
"CARD **4582 used at Sarva Yoga for Rs.4,905",4905.03,health_fitness
"PhonePe: Rs 15,943 paid to Manipal Hospital",15943.03,health_medical
IndusInd Debit: Rs 461/- to mtnl@kotak UPI,460.51,bills_telecom
Payment of Rs 713/- to Wow Momo successful,713.2,food_delivery
"Canara SMS: INR 29,567 debited UPI txn to yatra@okhdfcbank",29566.76,travel
RS 1965/-/- DEBITED NYKAA KOTAK,1965.17,personal_care
IndusInd UPI: Rs 54425 to developmentw@kotak,54424.88,freelance
"Paid Rs 4,614 to Rakhi gift via GPay",4614.21,gifts
RS 4178/- DEBITED INDANE GAS BOB,4177.99,transport_fuel
"Canara Credit: Rs 206,099.47 NEFT-Flipkart-SALARY",206099.47,salary
"INDUSIND ALERT: INR 4,290.81 SPENT AT TOTAL ENERGIES",4290.81,transport_fuel
"PNB CC: BPCL Rs 2,914.65",2914.65,transport_fuel
SBI: RS.1546/- PAID TO JIO VIA UPI REF 730933965,1545.67,bills_telecom
SBI: Rs 1595 debited for Dunzo purchase,1595.22,transport_ride
Manyavar - Rs.13663/- paid via UPI,13662.67,shopping_offline
"Uber Moto - Rs.2,108 paid via UPI",2107.73,transport_ride
"IndusInd Alert: INR 1,079 spent at Snap Fitness",1079.33,health_fitness
"Payment of Rs 21,185.37 to Fortis Hospital successful",21185.37,health_medical
rs 17522/-/- debited reliance trends bob,17521.72,shopping_offline
"Rs 1,006.04/- debited Pune Municipal Water ICICI",1006.04,bills_water
"ICICI Debit: Rs 1,811.94 to ratnadeep@paytm UPI",1811.94,groceries
Monthly rent Rs 44649 paid via UPI,44649.35,rent
"Canara: Rs 42,285 debited for EaseMyTrip purchase",42284.9,travel
"PHONEPE: RS 4,612 PAID TO BLUEDART",4612.43,other
Payment of Rs. 320 to Notion successful,320.37,subscription
CSPDCL - Rs.909.55 paid via UPI,909.55,bills_electricity
"Canara Alert: INR 1,037.31 spent at PVR",1037.31,entertainment
DishTV - Rs.794 paid via UPI,793.54,bills_telecom
"Kotak Debit: Rs 66,293 to consultingfe@hdfcbank UPI",66292.68,freelance
"Printing - Rs.8,144.88 paid via UPI",8144.88,other
"Kotak Alert: INR 8,423 spent at Gift card",8423.14,gifts
AXIS: RS.7913 PAID TO UHBVN VIA UPI REF 659926223,7912.82,bills_electricity
PhonePe: Rs 2076 paid to Haircut,2076.43,personal_care
PhonePe: Rs 34250/- paid to RedBus,34250.4,travel
HDFC CC: Ferns N Petals Rs 2891/-,2891.05,gifts
"ICICI Direct - Rs. 92,403.11 invested in mutual fund",92403.11,investment
PHONEPE: RS 978 PAID TO XEROX,977.67,other
Kotak CC: Spa Rs 3057/-,3057.43,personal_care
"Payment of Rs 1,834 to Amazon Prime successful",1834.26,entertainment
Axis SMS: INR 396 debited UPI txn to punemunicipa@okaxis,395.72,bills_water
Axis UPI: Rs 8159 to metropolisla@paytm,8159.12,health_medical
Auto debit Rs 20534 Samsung Finance loan account,20533.8,emi
Rs 1022/- debited Yoga House Canara,1021.81,health_fitness
"UPI: Rs 52,180 to upwork@sbi for purchase",52180.38,freelance
"Salary for Aug - Rs 38,781 from Infosys",38780.73,salary
"SBI Alert: INR 22,829.98 spent at content writing",22829.98,freelance
SBI UPI: Rs 1768/- to thequad@axisbank,1767.71,health_fitness
"SBI MF - Rs 93,529 invested in mutual fund",93528.68,investment
"PAYMENT OF RS 25,594.31 TO CLIENT PAYMENT SUCCESSFUL",25594.31,freelance
"Canara SMS: INR 1,435.84 debited UPI txn to uberauto@sbi",1435.84,transport_ride
HDFC Debit: Rs 8640/- to amazongift@okhdfcbank UPI,8640.2,gifts
"Payment of Rs 5,427.67 to KSEB successful",5427.67,bills_electricity
"PNB CC: UPWORK RS 98,828",98827.93,freelance
Canara: Rs 1130 debited from a/c **1434 for WBSEDCL,1130.21,bills_electricity
"CARD **7873 used at PSPCL for Rs.1,111",1110.56,bills_electricity
"Axis Debit: Rs 1,928.76 to indrive@paytm UPI",1928.76,transport_ride
"IndusInd: Rs.23,364.27 paid to AIIMS via UPI Ref 183189355",23364.27,health_medical
"pnb alert: inr 6,414 spent at kalyan jewellers",6414.07,shopping_offline
"SpiceJet - Rs.37,053 paid via UPI",37052.63,travel
"Salary credited Rs 186,164.89 from Tech Mahindra",186164.89,salary
Rs 558/- debited BWSSB Canara,557.63,bills_water
PNB: Rs.1974 paid to Golds Gym via UPI Ref 316575262,1973.57,health_fitness
"Rs 2,493.30/- debited Rapido Bike ICICI",2493.3,transport_ride
"Monthly salary credit INR 196,154 Accenture",196153.98,salary
rs 2985/- debited star bazaar hdfc,2985.38,groceries
"SBI: Rs 3,871.97 debited for Thai Spa purchase",3871.97,personal_care
"Paid Rs 2,024.15 to Rapido via GPay",2024.15,transport_ride
"CARD **2424 USED AT FREELANCER.COM FOR RS.53,714.52",53714.52,freelance
Max Hospital - Rs.17700/- paid via UPI,17699.56,health_medical
Axis Alert: INR 538 spent at Indane Gas,538.12,transport_fuel
Canara: Rs.2299/- paid to Amazon Prime via UPI Ref 750517675,2298.7,entertainment
UPI: Rs 1865/- to mcgmwater@hdfcbank for purchase,1865.11,bills_water
Monthly salary credit INR 113656 Accenture,113656.01,salary
UPI: Rs 6223 to apollopharma@icici for purchase,6223.25,health_medical
"SBI SMS: INR 5,235 debited UPI txn to weddinggift@ybl",5235.19,gifts
Payment of Rs 679 to Jawed Habib successful,679.4,personal_care
"Salary for Dec - Rs 131,210.82 from Flipkart",131210.82,salary
mcdonalds - rs.290 paid via upi,289.55,food_delivery
ICICI: Rs 36971/- NEFT to Society maintenance,36971.27,rent
SBI Debit: Rs 2062 to swiggyinstam@hdfcbank UPI,2062.2,groceries
BPCL - Rs.3462 paid via UPI,3461.98,transport_fuel
SBI: Rs 2969/- debited from a/c **2824 for Spa,2968.95,personal_care
UPI: Rs 4820/- to bpcl@okhdfcbank for purchase,4819.88,transport_fuel
"PhonePe: Rs 16,980.43 paid to client payment",16980.43,freelance
"yes bank: rs 2,759 debited from a/c **5012 for pepperfry",2758.96,shopping_online
Yes Bank Debit: Rs 456/- to madoverdonut@okhdfcbank UPI,455.67,food_delivery
Rs 416/- debited Mad Over Donuts ICICI,416.17,food_delivery
Office rent payment Rs 19164/- for Sep,19163.64,rent
AXIS MF - RS 77479/- INVESTED IN MUTUAL FUND,77478.6,investment
UPI: Rs 1850 to mcgmwater@okaxis for purchase,1849.72,bills_water
Axis UPI: Rs 3891 to cesc@icici,3890.6,bills_electricity
"Axis SMS: INR 3,363.37 debited UPI txn to thaispa@icici",3363.37,personal_care
"axis alert: inr 56,781.01 spent at toptal",56781.01,freelance
"HDFC: Rs.2,097 paid to IOCL via UPI Ref 672806655",2096.54,transport_fuel
F45 Training - Rs.2181/- paid via UPI,2180.63,health_fitness
"UPI: Rs 2,554 to crossfit@okhdfcbank for purchase",2554.01,health_fitness
Investment: Rs 48268 to ICICI Direct via UPI,48267.92,investment
Toptal - Rs.24827 paid via UPI,24826.84,freelance
"PNB UPI: Rs 2,814.71 to countrydelig@sbi",2814.71,groceries
Payment of Rs 9268/- to Gift card successful,9268.05,gifts
"Delhivery - Rs.9,153.92 paid via UPI",9153.92,other
Groww: SIP of Rs 22573/- debited,22572.77,investment
ICICI Debit: Rs 5550/- to christmasgif@sbi UPI,5550.13,gifts
Paid Rs 601 to Westside via GPay,600.56,shopping_offline
Yes Bank: Rs 6062/- debited for Samsung Finance EMI,6062.5,emi
"MONTHLY RENT RS 20,508 PAID VIA UPI",20507.62,rent
"PNB Debit: Rs 80,594 to freelancerco@paytm UPI",80593.62,freelance
"BOB: Rs 10,303.06 debited for Scaler Academy purchase",10303.06,education
